회사명,거래소코드,회계년도,자산총계(요약),부채총계(요약),자본총계(요약),매출액(요약),매출원가(요약),매출총이익(요약),판매비와 관리비(요약),영업이익(요약),당기순이익(요약),유동자산(요약),유동부채(요약),비유동부채(요약),자본금(요약),비유동자산(요약),총자산수익률(ROA),자기자본수익률(ROE),영업이익률,당기순이익률,유동비율,자기자본비율,부채비용,비유동비율,비유동장기적합률
(주)까뮤이앤씨,13700,Dec-85,28017,20715,7302,19469,15898,3571,1396,2175,696,15480,13933,6782,7500,12537,0.02484206,0.095316352,0.111716061,0.03574914,1.111031364,0.260627476,2.762,0.540958762,0.877818233
(주)까뮤이앤씨,13700,Dec-86,41156,35656,5500,10820,9566,1254,1374,-120,-1756,28981,32006,3650,7500,12175,-0.042666926,-0.319272727,-0.011090573,-0.162292052,0.905486471,0.133637866,4.754133333,0.299794661,1.091928251
(주)까뮤이앤씨,13700,Dec-87,38418,30624,7794,33147,26439,6707,1344,5363,2299,27342,23489,7136,7500,11076,0.059841741,0.29497049,0.161794431,0.06935771,1.164034229,0.202873653,4.083333333,0.644275912,0.756764143
(주)까뮤이앤씨,13700,Dec-88,45265,36429,8836,23726,19070,4656,1394,3262,1058,33618,27673,8756,7500,11647,0.023373467,0.119737438,0.137486302,0.04459243,1.21483034,0.195206009,4.8572,0.751781575,0.716473917
(주)까뮤이앤씨,13700,Dec-89,77134,45860,31274,40982,36119,4863,1623,3240,1043,50948,37239,8620,12000,26185,0.013521923,0.033350387,0.079059099,0.025450198,1.368135557,0.405450255,3.821583333,0.329196105,1.269883608
(주)까뮤이앤씨,13700,Dec-90,99906,66440,33466,63941,55252,8688,2176,6513,3058,73610,60561,5879,12000,26296,0.030608772,0.091376322,0.101859527,0.047825339,1.215468701,0.334974876,5.536666667,0.223570125,1.47077577
(주)까뮤이앤씨,13700,Dec-91,112770,78351,34419,75532,65962,9570,3443,6127,1500,77984,55323,23028,12000,34786,0.01330141,0.04358058,0.081117937,0.019859133,1.409612639,0.305214153,6.52925,0.661990456,0.993091241
(주)까뮤이앤씨,13700,Dec-92,142806,107146,35660,105548,92812,12737,3277,9459,1984,106540,90291,16855,12000,36266,0.013892974,0.055636568,0.089617994,0.018797135,1.179962565,0.249709396,8.928833333,0.464760382,1.256835904
(주)까뮤이앤씨,13700,Dec-93,145583,97910,47673,151021,138863,12158,4644,7514,1980,103895,82458,15451,16800,41688,0.013600489,0.041532943,0.04975467,0.013110759,1.259974775,0.327462685,5.827916667,0.370634235,1.292611082
(주)까뮤이앤씨,13700,Dec-94,125060,67556,57504,116913,106554,10360,4390,5970,2051,76288,48064,19491,22576,48772,0.016400128,0.035667084,0.051063611,0.017542959,1.587217044,0.459811291,2.992336995,0.399635036,1.159388594
