회사명,거래소코드,회계년도,자산총계(요약),부채총계(요약),자본총계(요약),매출액(요약),매출원가(요약),매출총이익(요약),판매비와 관리비(요약),영업이익(요약),당기순이익(요약),유동자산(요약),유동부채(요약),비유동부채(요약),자본금(요약),비유동자산(요약),총자산수익률(ROA),자기자본수익률(ROE),영업이익률,당기순이익률,유동비율,자기자본비율,부채비용,비유동비율,비유동장기적합률
(주)광림,14200,Dec-97,81268,74691,6576,32990,31212,1778,4127,-2350,-14214,32375,13559,61133,11914,48893,-0.174902791,-2.16149635,-0.071233707,-0.430857836,2.387712958,0.080918454,6.269263052,1.250342585,0.669336181
(주)광림,14200,Dec-98,72176,71050,1126,37086,31018,6068,10551,-4483,-4261,26537,10174,60876,11914,45639,-0.059036245,-3.784191829,-0.120881195,-0.114895109,2.608315314,0.015600754,5.963572268,1.333859199,0.626995466
(주)광림,14200,Dec-99,53116,17578,35538,38148,33627,4521,22459,-17938,8440,28632,15405,2173,30418,24484,0.158897507,0.237492262,-0.470221244,0.221243578,1.858617332,0.669063936,0.577881518,0.088751838,0.751250345
(주)광림,14200,Dec-00,53822,17629,36193,53699,45483,8216,7454,762,646,30886,15137,2492,30418,22936,0.012002527,0.017848755,0.014190208,0.012030019,2.040430733,0.672457359,0.579558156,0.108650157,0.696931024
(주)광림,14200,Dec-01,52512,18447,34065,50694,44350,6344,7241,-897,-1557,31689,15752,2695,30418,20823,-0.029650366,-0.045706737,-0.017694402,-0.030713694,2.01174454,0.648708867,0.606450128,0.129424194,0.628846677
(주)광림,14200,Dec-02,52457,19073,33384,59549,50393,9157,7596,1561,-745,31603,15005,4068,30418,20854,-0.014202108,-0.02231608,0.026213706,-0.012510705,2.106164612,0.636406962,0.627030048,0.19507049,0.604709157
(주)광림,14200,Dec-03,56491,21132,35359,64650,55077,9573,7986,1587,2011,35086,17189,3943,15209,21405,0.035598591,0.05687378,0.024547564,0.031105955,2.041189133,0.625922713,1.389440463,0.184209297,1.117637845
(주)광림,14200,Dec-04,55550,18479,37071,68739,56629,12110,9968,2142,1676,34144,15145,3334,15209,21405,0.030171017,0.045210542,0.031161349,0.024382083,2.254473424,0.667344734,1.215004274,0.155758,1.154343957
(주)광림,14200,Dec-05,59198,21754,37445,63680,53840,9840,7843,1996,-771,35580,16325,5429,15209,23618,-0.013024089,-0.020590199,0.031344221,-0.012107412,2.179479326,0.632527576,1.4303373,0.229867051,1.144393837
(주)광림,14200,Dec-06,67470,27568,39902,72558,61587,10971,9166,1805,1812,42968,24301,3267,15209,24502,0.026856381,0.045411258,0.02487665,0.024973125,1.768157689,0.591403587,1.812610954,0.133336054,1.326152847
(주)광림,14200,Dec-07,71595,26137,45459,80604,70560,10043,8883,1160,7942,43600,22908,3229,15209,27995,0.110929534,0.174706879,0.014391345,0.09853109,1.903265235,0.634937706,1.718521928,0.115342025,1.518331706
(주)광림,14200,Dec-08,80656,34878,45779,75005,64940,10066,9473,593,734,49923,32415,2462,15209,30734,0.009100377,0.016033553,0.00790614,0.009786014,1.540120315,0.56757628,2.293181669,0.080106722,1.739233773
