회사명,거래소코드,회계년도,자산총계,부채총계,자본총계,매출액,매출원가,매출총이익,판매비와 관리비,영업이익,당기순이익
(주)88스테이,81962,Dec-16,15523,15523,1,0,0,0,63,-63,-60
(주)88스테이,81962,Dec-17,15766,15875,-109,25,0,25,138,-113,-110
(주)88스테이,81962,Dec-18,13741,15933,-2193,10,0,10,110,-100,-2084
(주)88스테이,81962,Dec-19,13702,16005,-2303,7,0,7,117,-110,-110
(주)LF스퀘어씨사이드,86240,Dec-17,17962,8041,9921,0,0,0,38,-38,-37
(주)LF스퀘어씨사이드,86240,Dec-18,19013,9130,9883,0,0,0,45,-45,-38
(주)LF스퀘어씨사이드,86240,Dec-19,19396,9558,9838,0,0,0,44,-44,-45
(주)NHF5호공공임대개발전문위탁관리부동산투자회사,76921,Dec-15,226311,112741,113570,0,0,0,766,-766,-766
(주)NHF5호공공임대개발전문위탁관리부동산투자회사,76921,Dec-16,348516,238142,110373,0,0,0,3234,-3234,-3196
(주)NHF5호공공임대개발전문위탁관리부동산투자회사,76921,Dec-17,645382,537246,108136,0,0,0,2405,-2405,-2237
(주)NHF5호공공임대개발전문위탁관리부동산투자회사,76921,Dec-18,837813,732721,105093,14154,3533,10622,9188,1434,-3044
(주)NHF5호공공임대개발전문위탁관리부동산투자회사,76921,Dec-19,835240,738125,97115,13381,222,13159,14301,-1142,-7978
(주)NHF6호공공임대개발전문위탁관리부동산투자회사,78193,Dec-15,204757,96045,108712,0,0,0,946,-946,-946
(주)NHF6호공공임대개발전문위탁관리부동산투자회사,78193,Dec-16,339331,234379,104952,0,0,0,3802,-3802,-3760
(주)NHF6호공공임대개발전문위탁관리부동산투자회사,78193,Dec-17,630065,527955,102110,0,0,0,3056,-3056,-2842
(주)NHF6호공공임대개발전문위탁관리부동산투자회사,78193,Dec-18,724649,626277,98372,16975,7807,9168,9954,-786,-3738
(주)NHF6호공공임대개발전문위탁관리부동산투자회사,78193,Dec-19,753103,663436,89667,13658,0,13658,14911,-1254,-8704
(주)NHF7호공공임대위탁관리부동산투자회사,76922,Dec-15,226575,90756,135819,0,0,0,508,-508,-508
(주)NHF7호공공임대위탁관리부동산투자회사,76922,Dec-16,323705,192146,131558,0,0,0,4263,-4263,-4261
(주)NHF7호공공임대위탁관리부동산투자회사,76922,Dec-17,611865,484024,127841,0,0,0,3862,-3862,-3718
(주)NHF7호공공임대위탁관리부동산투자회사,76922,Dec-18,952156,825409,126747,5824,1586,4238,5093,-855,-1094
(주)NHF7호공공임대위탁관리부동산투자회사,76922,Dec-19,971093,856655,114438,20431,2678,17753,19049,-1296,-12309
(주)NHF제1호공공임대개발전문위탁관리부동산투자회사,72369,Dec-14,439593,287709,151884,0,0,0,571,-571,-571
(주)NHF제1호공공임대개발전문위탁관리부동산투자회사,72369,Dec-15,616518,467660,148858,0,0,0,3519,-3519,-3025
(주)NHF제1호공공임대개발전문위탁관리부동산투자회사,72369,Dec-16,888589,742184,146405,0,0,0,2718,-2718,-2453
(주)NHF제1호공공임대개발전문위탁관리부동산투자회사,72369,Dec-17,1206288,1064826,141462,21960,5042,16918,9784,7134,-4944
(주)NHF제1호공공임대개발전문위탁관리부동산투자회사,72369,Dec-18,1196501,1074205,122296,14382,0,14382,17105,-2723,-19165
(주)NHF제1호공공임대개발전문위탁관리부동산투자회사,72369,Dec-19,1156590,1054409,102181,13720,0,13720,18131,-4410,-20115
(주)NHF제2호공공임대위탁관리부동산투자회사,72370,Dec-14,127965,59243,68722,0,0,0,439,-439,-439
(주)NHF제2호공공임대위탁관리부동산투자회사,72370,Dec-15,242361,176002,66359,0,0,0,2406,-2406,-2363
(주)NHF제2호공공임대위탁관리부동산투자회사,72370,Dec-16,411837,346892,64944,0,0,0,1618,-1618,-1415
(주)NHF제2호공공임대위탁관리부동산투자회사,72370,Dec-17,551845,487236,64608,9825,1638,8187,5295,2893,-336
(주)NHF제2호공공임대위탁관리부동산투자회사,72370,Dec-18,552472,492576,59896,9838,0,9838,9414,424,-4712
(주)NHF제2호공공임대위탁관리부동산투자회사,72370,Dec-19,556438,501867,54571,9682,0,9682,9901,-218,-5326
(주)NHF제3호공공임대개발전문위탁관리부동산투자회사,72325,Dec-14,340757,190831,149926,0,0,0,160,-160,-141
(주)NHF제3호공공임대개발전문위탁관리부동산투자회사,72325,Dec-15,438568,293417,145151,0,0,0,4776,-4776,-4776
(주)NHF제3호공공임대개발전문위탁관리부동산투자회사,72325,Dec-16,703167,560771,142396,0,0,0,3044,-3044,-2755
(주)NHF제3호공공임대개발전문위탁관리부동산투자회사,72325,Dec-17,1119230,982013,137217,6150,3461,2688,6090,-3402,-5179
(주)NHF제3호공공임대개발전문위탁관리부동산투자회사,72325,Dec-18,1086912,964850,122062,22152,6301,15851,18160,-2309,-15155
(주)NHF제3호공공임대개발전문위탁관리부동산투자회사,72325,Dec-19,1077987,971951,106036,14270,0,14270,19162,-4892,-16026
(주)SK랜드,54029,Dec-07,7639,7596,43,37,0,37,40,-3,-57
(주)SK랜드,54029,Dec-08,8940,9194,-253,154,0,154,177,-22,-297
(주)SK랜드,54029,Dec-09,8804,9333,-529,224,0,224,179,45,-276
(주)SK랜드,54029,Dec-10,8794,9683,-889,213,0,213,235,-22,-360
(주)SK랜드,54029,Dec-11,5216,7337,-2121,267,0,267,182,85,-1232
(주)가경개발,60723,Dec-11,11725,6074,5651,0,0,0,1328,-1328,-1285
(주)가경개발,60723,Dec-12,51190,48668,2522,2900,2474,427,3645,-3219,-3621
(주)가경개발,60723,Dec-13,9127,9859,-732,43229,40790,2439,4787,-2348,-3254
(주)가경개발,60723,Dec-14,5682,6904,-1222,3091,3094,-3,1588,-1590,-490
(주)가나피엔비개발,42804,Dec-04,6838,6131,706,27304,12460,14845,12499,2345,1524
(주)가든파이브라이프,73254,Dec-14,7241,7161,81,9300,0,9300,9720,-419,1
(주)가든파이브라이프,73254,Dec-15,9194,9112,81,9269,0,9269,9488,-219,0
(주)가든파이브라이프,73254,Dec-16,10911,10830,82,9397,0,9397,9654,-257,0
(주)가든파이브라이프,73254,Dec-17,11066,10965,101,10113,0,10113,10526,-413,19
(주)가든파이브라이프,73254,Dec-18,13277,13073,204,10992,0,10992,11165,-174,103
(주)가든파이브라이프,73254,Dec-19,15550,15244,307,11312,0,11312,11354,-42,103
(주)가람D&C,85468,Dec-17,31450,44517,-13066,10491,7631,2860,14582,-11723,-13116
(주)가람D&C,85468,Dec-18,147241,184016,-36775,69986,52347,17640,33448,-15808,-23959
(주)가람D&C,85468,Dec-19,160389,180184,-19795,188050,145732,42318,14649,27669,16980
(주)가리온,85096,Dec-17,7704,7406,297,0,0,0,3,-3,-3
(주)가리온,85096,Dec-18,66401,79405,-13003,0,0,0,10902,-10902,-13301
(주)가리온,85096,Dec-19,13572,15765,-2193,71319,56274,15045,966,14079,10810
(주)가림산업,90395,Dec-18,26487,26478,9,0,0,0,1,-1,-1
(주)가림산업,90395,Dec-19,17652,22525,-4873,0,0,0,726,-726,-4882
(주)가산디앤씨,88143,Dec-17,24684,31535,-6852,3211,1982,1229,6684,-5455,-6862
(주)가산디앤씨,88143,Dec-18,41682,43478,-1796,30416,18775,11640,4523,7118,5055
(주)가산디앤씨,88143,Dec-19,22658,24684,-2027,20629,13120,7509,5713,1796,-230
(주)가온감정평가법인,48025,Dec-07,9634,5152,4483,32287,0,32287,31888,400,313
(주)가온감정평가법인,48025,Dec-08,7500,3159,4341,28467,0,28467,29053,-586,-469
(주)가온감정평가법인,48025,Dec-09,13762,8507,5255,31465,0,31465,30289,1177,651
(주)가온감정평가법인,48025,Dec-10,13501,8083,5418,29770,0,29770,29424,346,98
(주)가온감정평가법인,48025,Dec-11,13650,8423,5227,31356,0,31356,31087,269,40
(주)가온감정평가법인,48025,Dec-12,13764,8279,5485,33265,0,33265,32674,591,320
(주)가온감정평가법인,48025,Dec-13,15809,9738,6070,38286,0,38286,37488,797,306
(주)가온감정평가법인,48025,Dec-14,17437,10787,6651,40252,0,40252,39268,985,620
(주)가온감정평가법인,48025,Dec-15,18370,10676,7695,43751,0,43751,43003,749,725
(주)가온감정평가법인,48025,Dec-16,21146,12708,8438,43706,0,43706,42593,1113,624
(주)가온감정평가법인,48025,Dec-17,23529,14616,8913,50005,0,50005,49019,986,595
(주)가온감정평가법인,48025,Dec-18,22019,12627,9392,47864,0,47864,46826,1038,558
(주)가온감정평가법인,48025,Dec-19,23783,13747,10036,51834,0,51834,51081,753,525
(주)가온인베스트먼트,87062,Dec-17,15508,15310,197,0,0,0,3,-3,-3
(주)가온인베스트먼트,87062,Dec-18,16445,15439,1006,0,0,0,226,-226,776
(주)가온인베스트먼트,87062,Dec-19,15353,13873,1480,1200,0,1200,584,616,474
(주)가원,76266,Dec-15,15764,15774,-10,1,0,1,111,-110,-110
(주)가원,76266,Dec-16,17681,18260,-578,0,0,0,569,-569,-568
(주)가원,76266,Dec-17,3137,1839,1298,0,0,0,475,-475,1876
(주)가이드건설,50479,Dec-07,41228,41415,-187,0,0,0,313,-313,-325
(주)가이드건설,50479,Dec-08,38557,42084,-3527,0,0,0,323,-323,-3250
(주)가이드건설,50479,Dec-09,35847,41582,-5735,0,0,0,286,-286,-2208
(주)가이아,88561,Dec-18,28417,30509,-2092,5060,1260,3800,5792,-1992,-2983
(주)가이아,88561,Dec-19,36010,36855,-845,25931,14996,10935,7102,3833,1940
