회사명,거래소코드,회계년도,자산총계,부채총계,자본총계,매출액,매출원가,매출총이익,판매비와 관리비,영업이익,당기순이익
(주)광림,14200,Dec-97,81268,74691,6576,32990,31212,1778,4127,-2350,-14214
(주)광림,14200,Dec-98,72176,71050,1126,37086,31018,6068,10551,-4483,-4261
(주)광림,14200,Dec-99,53116,17578,35538,38148,33627,4521,22459,-17938,8440
(주)광림,14200,Dec-00,53822,17629,36193,53699,45483,8216,7454,762,646
(주)광림,14200,Dec-01,52512,18447,34065,50694,44350,6344,7241,-897,-1557
(주)광림,14200,Dec-02,52457,19073,33384,59549,50393,9157,7596,1561,-745
(주)광림,14200,Dec-03,56491,21132,35359,64650,55077,9573,7986,1587,2011
(주)광림,14200,Dec-04,55550,18479,37071,68739,56629,12110,9968,2142,1676
(주)광림,14200,Dec-05,59198,21754,37445,63680,53840,9840,7843,1996,-771
(주)광림,14200,Dec-06,67470,27568,39902,72558,61587,10971,9166,1805,1812
(주)광림,14200,Dec-07,71595,26137,45459,80604,70560,10043,8883,1160,7942
(주)광림,14200,Dec-08,80656,34878,45779,75005,64940,10066,9473,593,734
(주)광림,14200,Dec-09,79368,34641,44727,73150,63694,9456,9094,362,-680
(주)광림,14200,Dec-10,112816,55771,57044,93435,77773,15661,13009,2652,2592
(주)광림,14200,Dec-11,86353,29676,56677,106495,89277,17218,13980,3238,2583
(주)광림,14200,Dec-12,89766,26264,63502,85323,74514,10808,9487,1322,586
(주)광림,14200,Dec-13,101593,36796,64797,103442,89450,13992,10681,3311,1631
(주)광림,14200,Dec-14,120284,54025,66259,92554,79081,13472,11562,1911,1138
(주)광림,14200,Dec-15,146339,65439,80899,237223,178239,58984,57657,1327,9224
(주)광림,14200,Dec-16,152080,61859,90221,87303,75002,12301,12129,172,437
(주)광림,14200,Dec-17,369582,193026,176556,99421,84130,15291,12987,2304,86196
(주)광림,14200,Dec-18,236379,115448,120931,75493,62506,12987,10784,2203,-58294
(주)광림,14200,Dec-19,193569,132820,60749,93241,78615,14626,10807,3819,-68291
(주)광진윈텍,90150,Dec-01,9778,5206,4572,13810,9943,3867,1746,2121,1393
(주)광진윈텍,90150,Dec-02,13300,7604,5696,23292,19247,4045,2289,1756,1124
(주)광진윈텍,90150,Dec-03,17042,9650,7393,25651,20449,5202,2322,2880,1697
(주)광진윈텍,90150,Dec-04,19479,9830,9649,30411,25026,5385,3074,2311,2256
(주)광진윈텍,90150,Dec-05,25794,13386,12408,34347,27754,6594,2970,3624,3055
(주)광진윈텍,90150,Dec-06,29347,7980,21366,36860,30235,6625,3845,2780,2581
(주)광진윈텍,90150,Dec-07,36396,12205,24191,39345,32338,7007,4323,2684,2707
(주)광진윈텍,90150,Dec-08,40912,14762,26150,34831,27369,7461,4617,2844,1974
(주)광진윈텍,90150,Dec-09,52749,25608,27141,34716,27188,7528,4723,2805,1518
(주)광진윈텍,90150,Dec-10,67320,37619,29700,50298,42228,8070,6416,1654,2193
(주)광진윈텍,90150,Dec-11,80869,48215,32654,70149,59551,10599,7864,2735,1599
(주)광진윈텍,90150,Dec-12,101500,65005,36496,79422,67554,11869,8562,3307,3102
(주)광진윈텍,90150,Dec-13,101914,64386,37528,78131,67292,10839,9244,1596,1705
(주)광진윈텍,90150,Dec-14,97935,61029,36906,81546,70537,11009,9829,1180,-240
(주)광진윈텍,90150,Dec-15,95603,58737,36866,80774,71260,9515,9086,429,236
(주)광진윈텍,90150,Dec-16,93206,55768,37437,87644,77001,10643,9907,736,961
(주)광진윈텍,90150,Dec-17,94054,58808,35246,88397,76209,12188,14981,-2793,-2167
(주)광진윈텍,90150,Dec-18,92746,61096,31651,88538,77205,11332,13639,-2306,-1735
(주)광진윈텍,90150,Dec-19,85047,46433,38614,88335,77117,11218,8866,2352,2406
(주)구영테크,53270,Dec-97,9400,7232,2168,14555,12041,2514,1622,892,274
(주)구영테크,53270,Dec-98,10510,8169,2341,10487,8692,1794,1129,665,173
(주)구영테크,53270,Dec-99,15376,11401,3976,17892,15128,2765,1885,879,745
(주)구영테크,53270,Dec-00,20201,13699,6503,25613,22096,3517,2193,1324,1178
(주)구영테크,53270,Dec-01,23957,17159,6798,26325,22848,3477,2483,994,952
(주)구영테크,53270,Dec-02,22474,11456,11018,28864,24495,4369,2875,1495,1159
(주)구영테크,53270,Dec-03,27338,12924,14414,33259,27682,5578,3473,2104,2151
(주)구영테크,53270,Dec-04,37727,23147,14580,27350,21053,6298,4700,1598,1929
(주)구영테크,53270,Dec-05,48871,27238,21633,53949,47436,6513,5548,965,-53
(주)구영테크,53270,Dec-06,68476,48098,20379,56310,47422,8888,6451,2437,-1980
(주)구영테크,53270,Dec-07,71470,50896,20574,64583,53671,10912,7523,3389,830
(주)구영테크,53270,Dec-08,86942,66687,20255,49322,41834,7488,6988,500,-10501
(주)구영테크,53270,Dec-09,79243,58864,20379,50369,39797,10572,5662,4910,574
(주)구영테크,53270,Dec-10,79780,57809,21971,60777,47438,13339,7204,6135,1740
(주)구영테크,53270,Dec-11,94941,66978,27963,62528,50905,11623,7202,4421,986
(주)구영테크,53270,Dec-12,109441,80138,29302,65451,53454,11997,7157,4839,1250
(주)구영테크,53270,Dec-13,97549,66787,30762,76283,63114,13168,8705,4463,1137
(주)구영테크,53270,Dec-14,101546,59346,42200,77800,64483,13317,10535,2782,1327
(주)구영테크,53270,Dec-15,102761,58695,44067,87109,72768,14341,10811,3530,3196
(주)구영테크,53270,Dec-16,108895,62465,46430,75320,61393,13927,9813,4114,3920
(주)구영테크,53270,Dec-17,139584,92482,47102,74298,61736,12562,9537,3025,1239
(주)구영테크,53270,Dec-18,146492,88631,57861,81929,69674,12255,10617,1639,3912
(주)구영테크,53270,Dec-19,141035,82366,58669,93133,79774,13359,10845,2514,1558
(주)금호에이치티,214330,Dec-99,14805,10070,4736,16807,11945,4862,1440,3422,2215
(주)금호에이치티,214330,Dec-00,17280,10666,6614,18835,13516,5319,1567,3752,2569
(주)금호에이치티,214330,Dec-01,16192,8122,8069,18237,13799,4438,1657,2781,2145
(주)금호에이치티,214330,Dec-02,15807,5218,10589,19705,14876,4829,1760,3069,2519
(주)금호에이치티,214330,Dec-03,18096,5268,12828,22760,16585,6175,2206,3969,3045
(주)금호에이치티,214330,Dec-04,19251,4537,14714,27693,21753,5940,2246,3695,2806
(주)금호에이치티,214330,Dec-05,24441,6387,18053,35039,27041,7998,2639,5359,4144
(주)금호에이치티,214330,Dec-06,26809,6047,20763,34018,26516,7502,2742,4760,3514
(주)금호에이치티,214330,Dec-07,30753,7042,23711,33457,25932,7525,2873,4652,3753
(주)금호에이치티,214330,Dec-08,33818,7406,26412,35384,28840,6544,2841,3703,3621
(주)금호에이치티,214330,Dec-09,39138,9956,29181,45190,39296,5895,2860,3035,3085
(주)금호에이치티,214330,Dec-10,47413,13357,34057,69193,56719,12474,4143,8331,7105
(주)금호에이치티,214330,Dec-11,62559,23436,39123,85311,74152,11159,3924,7235,5579
(주)금호에이치티,214330,Dec-12,76273,33449,42824,106418,95755,10663,4212,6450,3437
(주)금호에이치티,214330,Dec-13,87131,38473,48658,124006,109998,14008,4395,9614,6730
(주)금호에이치티,214330,Dec-14,102363,40358,62006,175222,152456,22766,6515,16251,13520
