회사명,거래소코드,회계년도,자산총계,부채총계,자본총계,매출액,매출원가,매출총이익,판매비와 관리비,영업이익,당기순이익
(주)21세기개발,29616,Dec-02,34131,31572,2559,14842,13334,1508,1008,500,204
(주)21세기개발,29616,Dec-03,19636,16655,2981,25563,24566,997,864,133,422
(주)21세기개발,29616,Dec-04,14272,10504,3768,14890,12787,2102,1424,679,787
(주)21세기개발,29616,Dec-05,30766,19072,11693,38804,27730,11074,1293,9781,7925
(주)21세기개발,29616,Dec-06,30789,19296,11493,443,366,76,409,-333,-200
(주)21세기개발,29616,Dec-07,45875,34897,10977,440,334,106,521,-415,-516
(주)21세기개발,29616,Dec-08,58765,49243,9522,594,555,40,503,-464,-1228
(주)21세기개발,29616,Dec-09,79463,70378,9085,3750,3375,375,144,231,-642
(주)21세기개발,29616,Dec-10,95747,86207,9541,12741,8808,3933,934,2999,451
(주)21세기개발,29616,Dec-11,93715,80014,13702,41760,30394,11365,2938,8427,4193
(주)21세기개발,29616,Dec-12,91644,57850,33793,114916,81970,32946,6406,26540,20081
(주)21세기개발,29616,Dec-13,71331,29298,42033,99903,83268,16635,5939,10696,8201
(주)21세기개발,29616,Dec-14,64190,7285,56905,41461,21122,20339,1966,18373,14872
(주)21세기개발,29616,Dec-15,86051,30857,55195,2311,2017,294,1984,-1690,-1710
(주)21세기개발,29616,Dec-16,93519,36163,57355,35874,27277,8597,5285,3312,2161
(주)21세기개발,29616,Dec-17,95897,31711,64187,64333,50395,13938,772,13166,6832
(주)21세기개발,29616,Dec-18,80325,6945,73380,54207,44426,9781,1560,8221,9193
(주)21세기개발,29616,Dec-19,76987,3276,73710,3073,2478,596,1360,-764,330
(주)DS(디에스)건설,14076,Dec-99,8913,6425,2487,9701,7630,2071,681,1391,247
(주)DS(디에스)건설,14076,Dec-00,12417,9609,2807,7449,5876,1573,841,732,320
(주)DS(디에스)건설,14076,Dec-01,14185,10821,3363,33187,29349,3838,1312,2525,556
(주)DS(디에스)건설,14076,Dec-02,15107,9957,5151,42046,33790,8257,5205,3052,1788
(주)DS(디에스)건설,14076,Dec-03,26495,19307,7188,61489,54376,7113,1857,5256,2037
(주)DS(디에스)건설,14076,Dec-04,28825,18426,10399,32493,25772,6721,1621,5100,3203
(주)DS(디에스)건설,14076,Dec-05,24839,11322,13517,39971,34885,5086,1449,3638,3055
(주)DS(디에스)건설,14076,Dec-06,33591,19927,13664,3528,2595,933,617,316,76
(주)DS(디에스)건설,14076,Dec-07,49265,33969,15295,12850,10339,2511,1341,1170,1577
(주)DS(디에스)건설,14076,Dec-08,52747,35085,17663,84960,82659,2301,2212,88,2351
(주)DS(디에스)건설,14076,Dec-09,64917,46778,18139,11293,9832,1461,1253,208,476
(주)DS(디에스)건설,14076,Dec-10,76094,56453,19641,31648,28276,3371,1466,1905,1527
(주)DS(디에스)건설,14076,Dec-11,35981,20129,15852,56824,54375,2449,1608,841,-3875
(주)DS(디에스)건설,14076,Dec-12,60589,49701,10888,12511,11146,1365,1489,-124,-2908
(주)DS(디에스)건설,14076,Dec-13,105231,91256,13975,33739,32293,1446,1205,241,3084
(주)DS(디에스)건설,14076,Dec-14,74547,54506,20041,86737,82067,4670,1656,3015,6048
(주)DS(디에스)건설,14076,Dec-15,73657,46451,27206,99661,93594,6067,3089,2979,7104
(주)DS(디에스)건설,14076,Dec-16,135848,102998,32850,76474,71105,5370,2509,2861,5595
(주)DS(디에스)건설,14076,Dec-17,120263,79998,40265,112966,106610,6356,3239,3117,7395
(주)DS(디에스)건설,14076,Dec-18,119319,78090,41230,98961,91953,7008,7929,-921,912
(주)DS(디에스)건설,14076,Dec-19,74947,31751,43196,50479,47370,3109,5212,-2102,3056
(주)G건설,90188,Dec-18,11048,12110,-1062,0,0,0,320,-320,-426
(주)G건설,90188,Dec-19,7573,3006,4567,22534,13117,9417,1601,7816,5628
(주)LF개발,52323,Dec-07,39721,32387,7334,13470,9085,4385,3664,721,166
(주)LF개발,52323,Dec-08,38841,33241,5600,17660,9535,8125,8223,-97,-1734
(주)SID엔터프라이즈,39294,Dec-02,47481,49192,-1711,0,0,0,821,-821,-1991
(주)SID엔터프라이즈,39294,Dec-03,45790,49353,-3564,21394,20055,1339,1010,329,-1852
(주)SID엔터프라이즈,39294,Dec-04,38292,36269,2023,57661,48040,9621,2429,7192,5587
(주)SID엔터프라이즈,39294,Dec-05,48560,48020,539,75081,72887,2194,1049,1145,907
(주)SID엔터프라이즈,39294,Dec-06,27559,23276,4283,28183,22840,5343,2488,2855,3744
(주)SID엔터프라이즈,39294,Dec-07,23159,22689,470,566,224,342,4577,-4235,-3813
(주)SID엔터프라이즈,39294,Dec-08,14864,14113,751,8489,8381,108,1284,-1177,280
(주)TS건설,20606,Dec-99,35850,29421,6429,22888,21189,1699,1918,-219,-1793
(주)TS건설,20606,Dec-00,38052,34621,3432,15472,14984,489,1568,-1079,-2998
(주)TS건설,20606,Dec-01,37642,29633,8009,26334,23514,2820,1594,1227,-397
(주)가경디앤씨,53950,Dec-07,52972,56040,-3068,0,0,0,1364,-1364,-3333
(주)가경디앤씨,53950,Dec-08,55108,62398,-7290,0,0,0,286,-286,-4223
(주)가경디앤씨,53950,Dec-09,54654,67331,-12677,0,0,0,1474,-1474,-5387
(주)가경디앤씨,53950,Dec-10,56303,74512,-18209,0,0,0,1348,-1348,-5532
(주)가경디앤씨,53950,Dec-11,55990,79583,-23594,0,0,0,1089,-1089,-5384
(주)가경디앤씨,53950,Dec-12,54486,80772,-26285,0,0,0,395,-395,-2692
(주)가경디앤씨,53950,Dec-13,54496,82144,-27648,0,0,0,336,-336,-1363
(주)가경디앤씨,53950,Dec-14,54486,82149,-27663,0,0,0,150,-150,-15
(주)가경디앤씨,53950,Dec-15,54443,81841,-27398,0,0,0,113,-113,-82
(주)가경디앤씨,53950,Dec-16,56326,85562,-29236,0,0,0,87,-87,-1240
(주)가경디앤씨,53950,Dec-17,56471,85804,-29333,0,0,0,97,-97,-97
(주)가경디앤씨,53950,Dec-18,57185,86592,-29407,0,0,0,103,-103,-75
(주)가경디앤씨,53950,Dec-19,57206,86682,-29476,0,0,0,70,-70,-69
(주)가경종합건설,67227,Dec-12,9172,8392,781,2034,1323,711,400,311,281
(주)가경종합건설,67227,Dec-13,2723,1209,1514,17450,13512,3939,2519,1420,734
(주)가담종합건설,76423,Dec-15,18394,17579,815,1291,1065,226,234,-8,1
(주)가담종합건설,76423,Dec-16,21788,21058,730,9847,9099,749,700,48,25
(주)가담종합건설,76423,Dec-17,19851,18496,1355,23739,21750,1989,733,1255,625
(주)가담종합건설,76423,Dec-18,11761,7754,4007,41081,35022,6059,1233,4826,2652
(주)가담종합건설,76423,Dec-19,7222,3291,3930,4522,3931,592,566,26,-77
(주)가람우즈,49021,Dec-07,38527,44819,-6292,0,0,0,626,-626,-3646
(주)가람우즈,49021,Dec-08,36949,47270,-10321,0,0,0,512,-512,-4029
(주)가람우즈,49021,Dec-09,41148,55680,-14532,0,0,0,1486,-1486,-4211
(주)가람우즈,49021,Dec-10,39888,57629,-17741,326,0,326,631,-305,-3209
(주)가람우즈,49021,Dec-11,52894,75594,-22700,0,0,0,1295,-1295,-4959
(주)가람우즈,49021,Dec-12,62071,90297,-28225,0,0,0,736,-736,-5526
(주)가람우즈,49021,Dec-13,83436,118467,-35031,1442,0,1442,3648,-2206,-7500
(주)가람우즈,49021,Dec-14,91553,135560,-44007,10056,8056,2001,8217,-6216,-8976
(주)가람우즈,49021,Dec-15,70574,98879,-28305,112982,89248,23734,2875,20859,15702
(주)가람우즈,49021,Dec-16,28086,22741,5345,167603,134019,33584,2861,30723,33649
(주)가람우즈,49021,Dec-17,9954,4207,5747,4916,0,4916,1946,2970,3123
(주)가보이앤씨,89670,Dec-18,15534,4117,11417,27274,13884,13390,1642,11748,9922
(주)가보이앤씨,89670,Dec-19,15212,3554,11658,2137,992,1145,918,227,240
(주)가비건설,91492,Dec-18,9210,8969,242,0,0,0,58,-58,-58
(주)가비건설,91492,Dec-19,20290,20209,81,77,57,20,181,-161,-161
(주)가야종합건설,12822,Dec-01,13615,11387,2228,8254,7057,1196,403,793,537
(주)가야종합건설,12822,Dec-02,9523,7108,2415,14971,12874,2097,1515,582,187
(주)가야종합건설,12822,Dec-03,13955,10362,3593,21278,18444,2834,1132,1702,1177
(주)가야종합건설,12822,Dec-04,14864,8841,6023,27229,20476,6753,2621,4132,2431
(주)가야종합건설,12822,Dec-05,19198,13476,5721,151,112,39,1134,-1095,-302
(주)가야종합건설,12822,Dec-06,18923,13888,5035,881,793,88,780,-692,-686
(주)가야종합건설,12822,Dec-07,18681,14995,3686,1667,1658,10,597,-587,-1349
(주)가화건설,82774,Dec-16,13076,7908,5168,32545,30826,1719,1252,467,335
(주)가화건설,82774,Dec-17,15528,2919,12608,88379,77864,10514,1292,9222,7398
(주)가화건설,82774,Dec-18,16842,2404,14437,32678,27439,5239,2712,2527,1824
(주)가화건설,82774,Dec-19,19714,6238,13477,6298,5204,1094,1946,-853,-964
(주)감계개발,49616,Dec-07,81487,95112,-13625,0,0,0,1408,-1408,-7490
(주)감계개발,49616,Dec-08,77222,97366,-20144,0,0,0,562,-562,-6519
(주)감계개발,49616,Dec-09,75133,99136,-24003,0,0,0,563,-563,-3860
(주)감계개발,49616,Dec-10,1632,5522,-3890,0,0,0,653,-653,20113
(주)개성건설,66019,Dec-12,12233,6310,5923,7909,6127,1783,1497,286,79
(주)개성건설,66019,Dec-13,12258,6223,6035,4602,3536,1067,769,297,93
(주)개성건설,66019,Dec-14,15209,7713,7496,7702,6282,1419,911,508,462
(주)개성건설,66019,Dec-15,10360,4078,6283,23126,19672,3454,2151,1303,664
(주)개성건설,66019,Dec-16,18118,7506,10611,14835,11922,2914,1806,1108,732
(주)개성건설,66019,Dec-17,30319,14495,15824,20180,16577,3603,2146,1457,636
(주)개성건설,66019,Dec-18,31882,12534,19348,29280,22959,6321,3833,2488,1046
(주)개성건설,66019,Dec-19,43575,23373,20202,32489,26816,5674,3620,2054,846
(주)거성산업건설,52698,Dec-07,10989,8804,2185,7151,6150,1000,462,538,301
(주)거성산업건설,52698,Dec-08,12813,10517,2295,17511,13979,3532,778,2753,1952
(주)거성산업건설,52698,Dec-09,12074,9565,2508,4782,2821,1960,959,1002,112
(주)거성산업건설,52698,Dec-10,6857,10309,-3452,2075,6583,-4508,835,-5343,-8041
(주)거성토건,66541,Dec-12,11747,1409,10337,17187,12974,4213,2474,1739,1296
(주)거성토건,66541,Dec-13,10944,1496,9448,7306,7106,200,1291,-1091,-889
(주)거성토건,66541,Dec-14,12325,1887,10438,8195,6088,2106,2075,31,990
(주)거성토건,66541,Dec-15,13494,2617,10877,10621,9385,1235,1088,147,439
(주)거성토건,66541,Dec-16,13605,2531,11074,10682,9767,915,1304,-389,197
(주)거성토건,66541,Dec-17,14197,2477,11720,13841,12823,1017,1320,-303,646
(주)거성토건,66541,Dec-18,13677,1554,12124,11528,10208,1320,1287,33,404
(주)거성토건,66541,Dec-19,16167,3085,13082,16594,14234,2360,1218,1143,958
(주)거해산업개발,61551,Dec-10,11387,5313,6074,15795,13554,2240,1758,483,458
(주)거해산업개발,61551,Dec-11,9329,3106,6223,15915,13945,1970,1599,371,148
(주)건강건설,57110,Dec-08,13394,10211,3182,189,0,189,70,119,69
(주)건강건설,57110,Dec-09,23678,20479,3199,43,0,43,20,24,17
(주)건강건설,57110,Dec-10,41422,38077,3345,825,265,560,280,280,146
(주)건강건설,57110,Dec-11,12632,9437,3195,193,0,193,419,-225,-150
(주)건강건설,57110,Dec-12,14135,12200,1935,273,0,273,823,-550,-1259
(주)건강건설,57110,Dec-13,20875,19682,1193,296,0,296,494,-198,-742
(주)건강건설,57110,Dec-14,34158,32832,1326,2538,1511,1027,234,793,133
(주)건강건설,57110,Dec-15,28504,27149,1355,9282,6491,2791,1789,1002,29
(주)건강건설,57110,Dec-16,26438,24356,2082,2564,1549,1015,1435,-420,727
(주)건강건설,57110,Dec-17,28132,26045,2087,2833,2312,522,223,299,5
(주)건강건설,57110,Dec-18,27359,25230,2129,554,0,554,309,245,42
(주)건강건설,57110,Dec-19,31501,29331,2170,516,0,516,286,229,41
(주)건동주택,30749,Dec-02,8423,8478,-55,0,0,0,113,-113,-113
(주)건동주택,30749,Dec-03,9180,9883,-703,1955,1737,217,768,-551,-710
(주)건동주택,30749,Dec-04,20718,19642,1076,19456,16990,2466,342,2123,1862
(주)건동주택,30749,Dec-05,15654,12889,2764,24204,21574,2630,474,2156,985
(주)건동주택,30749,Dec-06,14548,12745,1803,200,210,-10,154,-164,-279
(주)건동주택,30749,Dec-07,43109,45527,-2418,1136,2218,-1083,259,-1341,-4222
(주)건동주택,30749,Dec-08,43162,46604,-3442,0,0,0,301,-301,-1024
(주)건동주택,30749,Dec-09,43127,46701,-3574,0,0,0,138,-138,-132
(주)건동주택,30749,Dec-10,42989,46568,-3579,571,138,433,272,162,-5
(주)건동주택,30749,Dec-11,33889,36814,-2924,10300,9051,1249,172,1078,655
(주)건동주택,30749,Dec-12,34936,38207,-3271,0,0,0,163,-163,-347
(주)건동주택,30749,Dec-13,34801,38392,-3591,0,0,0,379,-379,-320
(주)건동주택,30749,Dec-14,33843,37545,-3702,0,0,0,150,-150,-111
(주)건동주택,30749,Dec-15,33824,37630,-3807,0,0,0,105,-105,-105
(주)건동주택,30749,Dec-16,33824,37788,-3963,0,0,0,159,-159,-157
(주)건동주택,30749,Dec-17,3213,20959,-17746,0,0,0,132,-132,-13782
(주)건림원,52198,Dec-07,7229,464,6765,14786,12338,2447,1419,1028,987
(주)건림원,52198,Dec-08,8957,1620,7337,8790,6953,1837,1205,632,572
(주)건림원,52198,Dec-11,9862,1511,8351,8981,9132,-151,2311,-2461,866
(주)건설뱅크,23239,Dec-99,7698,7549,149,2816,2721,95,138,-43,75
(주)건설뱅크,23239,Dec-00,6836,6796,40,214,209,5,163,-158,-110
(주)건설뱅크,23239,Dec-01,6028,5407,621,1231,1186,45,953,-909,-718
(주)건설뱅크,23239,Dec-05,16767,14786,1981,31331,30327,1003,410,593,374
(주)건설뱅크,23239,Dec-06,14655,13707,948,1549,1504,44,1205,-1161,-1033
(주)건설뱅크,23239,Dec-07,14529,13138,1391,1313,656,657,473,184,443
(주)건설뱅크,23239,Dec-08,16861,15318,1543,566,584,-17,707,-725,-349
(주)건설뱅크,23239,Dec-09,13203,12353,851,541,584,-43,1106,-1149,-692
(주)건설뱅크,23239,Dec-10,14926,14174,752,1011,1120,-110,287,-396,-99
(주)건설뱅크,23239,Dec-11,30850,28386,2464,31353,28437,2916,466,2450,1712
(주)건설뱅크,23239,Dec-12,30327,26494,3833,62170,55567,6603,3331,3272,1369
(주)건설뱅크,23239,Dec-13,77205,50640,26566,61179,28898,32281,3750,28531,22733
(주)건설뱅크,23239,Dec-14,40559,5268,35290,51556,37873,13683,2743,10940,8725
(주)건설뱅크,23239,Dec-15,37794,2951,34843,437,319,118,899,-782,-447
(주)건설뱅크,23239,Dec-16,43976,9713,34262,0,0,0,584,-584,-581
(주)건설뱅크,23239,Dec-17,97641,62111,35529,28030,17884,10146,4700,5446,1267
(주)건설뱅크,23239,Dec-18,92301,54157,38144,46199,40872,5327,1117,4210,2615
(주)건설뱅크,23239,Dec-19,130582,81442,49140,88664,71533,17132,2244,14887,10996
(주)건설엔지니어피케이투,48076,Dec-07,14067,12706,1361,8549,7489,1061,673,388,171
(주)건설엔지니어피케이투,48076,Dec-08,1352,471,881,1102,1020,82,558,-476,-480
(주)건설웨슨,40111,Dec-02,9085,6985,2100,35824,34203,1621,868,753,704
(주)건설웨슨,40111,Dec-03,2922,764,2158,1042,1646,-605,480,-1085,79
(주)건양,12879,Dec-01,10541,11409,-867,972,876,97,206,-109,-806
(주)건양,12879,Dec-02,11027,11280,-252,3450,2231,1219,352,868,239
(주)건양,12879,Dec-03,11744,12101,-358,858,551,307,322,-15,-117
(주)건양,12879,Dec-04,13540,13483,56,415,0,415,304,111,-161
(주)건양,12879,Dec-05,13343,12841,502,4058,2817,1241,467,774,446
(주)건양,12879,Dec-06,10246,10922,-675,3650,1968,1682,808,874,-218
(주)건양,12879,Dec-07,10753,11383,-629,920,369,551,758,-206,-188
(주)건양,12879,Dec-08,9597,10138,-541,1677,752,925,608,317,78
(주)건양,12879,Dec-09,8207,7666,541,1763,998,764,551,214,242
(주)건영,38822,Dec-02,500406,374954,125453,163768,141877,21890,17277,4614,-32295
(주)건영,38822,Dec-03,399789,291499,108290,188294,145659,42635,33047,9588,-16897
(주)건영,38822,Dec-04,414029,302855,111174,277679,232286,45393,22440,22953,3835
(주)건영,38822,Dec-05,387533,268253,119280,154648,120441,34207,24345,9862,-3347
(주)건영,38822,Dec-06,525096,189134,335962,41849,34916,6933,31772,-24838,-68655
(주)건영,38822,Dec-07,406956,68075,338880,205003,182166,22837,26090,-3252,3711
