회사명,거래소코드,회계년도,자산총계,부채총계,자본총계,매출액,매출원가,매출총이익,판매비와 관리비,영업이익,당기순이익
(주)네오위즈벅스,51113,Dec-07,37311,26621,10691,11546,8124,3422,2537,886,-43695
(주)네오위즈벅스,51113,Dec-08,35100,20207,14892,25348,15999,9348,5366,3982,4096
(주)네티움,11274,Dec-99,633,446,188,349,300,49,62,-13,-12
(주)네티움,11274,Dec-00,1434,343,1091,229,205,24,324,-300,-276
(주)뉴시스,72936,Dec-15,8166,6695,1472,16516,8728,7788,5091,2697,594
(주)뉴시스,72936,Dec-16,9403,7031,2372,18833,11835,6998,5763,1235,680
(주)뉴시스,72936,Dec-17,12793,9230,3564,21992,12982,9010,7160,1850,1192
(주)뉴시스,72936,Dec-18,16774,9952,6822,24536,13126,11411,6938,4472,3259
(주)뉴시스,72936,Dec-19,20774,11142,9632,26852,14914,11938,7970,3968,2810
(주)다나와,51508,Dec-07,10525,3119,7406,10451,0,10451,6615,3836,3405
(주)다나와,51508,Dec-08,14461,3569,10892,13712,0,13712,8937,4775,4286
(주)다나와,51508,Dec-09,20390,4861,15530,17075,0,17075,10948,6127,5517
(주)다날,28734,Dec-02,24626,11938,12688,31370,18689,12681,7079,5602,5512
(주)다날,28734,Dec-03,30122,12331,17791,46656,30805,15851,9152,6700,5103
(주)다모임,41926,Dec-04,5930,2406,3524,8291,5438,2853,2617,235,462
(주)대동홀딩스,65045,Dec-11,27938,12,27926,14,0,14,51,-37,-30
(주)대동홀딩스,65045,Dec-12,28035,28,28007,315,0,315,285,30,81
(주)대동홀딩스,65045,Dec-13,28155,44,28111,300,0,300,284,16,104
(주)대동홀딩스,65045,Dec-14,25940,2749,23190,300,0,300,301,-1,32
(주)대동홀딩스,65045,Dec-15,44250,1869,42380,300,0,300,357,-57,622
(주)대동홀딩스,65045,Dec-16,45109,1869,43240,300,0,300,280,20,860
(주)대동홀딩스,65045,Dec-17,45095,1284,43811,300,0,300,315,-15,570
(주)대동홀딩스,65045,Dec-18,44901,1367,43534,328,0,328,361,-33,-276
(주)대동홀딩스,65045,Dec-19,45583,1467,44115,354,0,354,417,-63,596
(주)더벨,69416,Dec-13,10834,7125,3708,13885,6155,7730,5320,2409,1624
(주)더벨,69416,Dec-14,13753,7192,6561,16350,6650,9701,5570,4130,2853
(주)더벨,69416,Dec-15,16124,5594,10530,18726,7646,11079,6076,5003,3969
(주)더벨,69416,Dec-16,22780,8006,14774,19353,7946,11407,5995,5412,4245
(주)더벨,69416,Dec-17,29401,10678,18723,21530,8789,12741,6917,5823,5148
(주)더벨,69416,Dec-18,35114,11594,23520,24279,8934,15345,5862,9482,7798
(주)더벨,69416,Dec-19,43007,12613,30394,26519,9215,17303,7661,9642,8374
(주)더퍼스트인베스트먼트,92008,Dec-18,10895,8169,2726,10683,0,10683,8296,2386,2062
(주)더퍼스트인베스트먼트,92008,Dec-19,11263,5692,5571,13469,0,13469,9192,4276,3656
(주)데이타솔루션,65880,Dec-12,17318,11010,6308,8424,3989,4435,3928,507,617
(주)데이타솔루션,65880,Dec-13,12581,7973,4607,8453,4999,3454,4101,-648,-1189
(주)데이타솔루션,65880,Dec-14,12308,7116,5192,10074,4281,5792,4315,1477,245
(주)데이타솔루션,65880,Dec-15,9685,4913,4771,9849,4134,5715,4511,1204,-421
(주)동서아이티에스,65065,Dec-11,8832,8305,527,746,315,431,419,11,5
(주)동서아이티에스,65065,Dec-12,2682,2101,581,760,322,437,389,48,54
(주)드라마앤컴퍼니,89742,Dec-19,14865,3215,11650,343,0,343,9343,-8999,-8692
(주)디비엠코리아,11218,Dec-02,1410,1615,-204,2356,1880,476,1447,-971,-975
(주)디비엠코리아,11218,Dec-03,1063,2129,-1067,2798,2138,661,1274,-613,-862
(주)디에스솔루션즈,87614,Dec-17,18270,15923,2347,2267,0,2267,1403,864,222
(주)디에스솔루션즈,87614,Dec-18,19115,16614,2502,2577,0,2577,1701,876,155
(주)디에스솔루션즈,87614,Dec-19,17871,15723,2148,2195,0,2195,1973,222,-353
(주)디지털태인,12545,Dec-99,1833,433,1400,1514,321,1194,922,272,230
(주)디지털태인,12545,Dec-00,3199,285,2914,8028,6114,1913,1701,213,194
(주)디지털태인,12545,Dec-01,6194,3120,3073,5519,3782,1737,1430,307,159
(주)디지털태인,12545,Dec-02,6232,3065,3167,8255,6950,1306,1088,218,93
(주)디지털태인,12545,Dec-03,6253,3811,2442,3444,1909,1535,2059,-525,-725
(주)디지털태인,12545,Dec-04,7587,5207,2380,8859,5751,3108,2300,807,-62
(주)디지털태인,12545,Dec-05,2924,2616,308,5281,3263,2018,2397,-378,-2072
(주)디지털태인,12545,Dec-06,1780,2234,-454,1540,170,1370,2027,-657,-762
(주)디지털태인,12545,Dec-07,931,1528,-597,1539,118,1421,1874,-453,410
(주)라온엔터테인먼트,58340,Dec-09,10095,1877,8218,8764,2533,6231,1541,4690,4009
(주)라온엔터테인먼트,58340,Dec-10,13172,2078,11094,8892,2953,5939,1579,4361,2821
(주)라온엔터테인먼트,58340,Dec-11,15809,624,15185,11745,4334,7411,1888,5524,4694
(주)라온엔터테인먼트,58340,Dec-12,17784,1430,16354,10615,0,10615,7268,3347,2935
(주)라온엔터테인먼트,58340,Dec-13,16718,1320,15398,5387,0,5387,6580,-1193,-956
(주)라온엔터테인먼트,58340,Dec-14,15554,499,15055,5203,0,5203,5515,-312,-343
(주)라온엔터테인먼트,58340,Dec-15,15274,558,14716,5642,0,5642,6087,-446,-340
(주)라온엔터테인먼트,58340,Dec-16,17852,3702,14149,5484,0,5484,6741,-1257,-566
(주)라온엔터테인먼트,58340,Dec-17,15536,3373,12163,5254,0,5254,6653,-1399,-1987
(주)라온엔터테인먼트,58340,Dec-18,16712,5379,11333,6332,0,6332,6381,-49,-830
(주)라온엔터테인먼트,58340,Dec-19,16959,4910,12049,6682,0,6682,6068,614,716
(주)매경닷컴,11050,Dec-01,11442,283,11159,4502,3808,695,663,32,199
(주)매경닷컴,11050,Dec-02,11770,614,11156,6142,5181,961,822,139,144
(주)매경닷컴,11050,Dec-03,12332,1105,11226,5926,5026,900,778,122,77
(주)매경닷컴,11050,Dec-04,11870,1166,10704,6062,5567,495,821,-326,45
(주)매경닷컴,11050,Dec-05,10998,1241,9757,5799,5235,564,1548,-984,-947
(주)매경닷컴,11050,Dec-06,13345,3061,10283,7230,5349,1880,1403,477,573
(주)매경닷컴,11050,Dec-07,14342,3408,10934,8909,6287,2621,1636,985,650
(주)매경닷컴,11050,Dec-08,14483,3155,11329,9197,6284,2913,2149,765,512
(주)매경닷컴,11050,Dec-09,15708,3910,11798,11145,7540,3605,2818,787,587
(주)매경닷컴,11050,Dec-10,16692,4102,12589,12275,7862,4413,3209,1205,909
(주)매경닷컴,11050,Dec-11,22087,9025,13062,16140,11463,4677,3696,981,590
(주)매경닷컴,11050,Dec-12,23698,9867,13831,18065,12658,5407,4012,1395,886
(주)매경닷컴,11050,Dec-13,24454,10537,13917,19042,13132,5910,5408,502,204
(주)매경닷컴,11050,Dec-14,25665,11598,14067,22961,16297,6664,6073,592,268
(주)매경닷컴,11050,Dec-15,27399,13031,14368,28761,21626,7134,6452,683,418
(주)매경닷컴,11050,Dec-16,26779,12109,14670,20984,18329,2655,1954,701,419
(주)매경닷컴,11050,Dec-17,25815,10876,14940,21864,19704,2160,1252,908,387
(주)매경닷컴,11050,Dec-18,27332,11484,15848,21867,19131,2736,1385,1351,1026
(주)매경닷컴,11050,Dec-19,26935,10290,16645,23049,20797,2252,1040,1212,914
(주)메이트아이,87815,Dec-17,11632,7848,3784,7984,0,7984,7723,261,139
(주)메이트아이,87815,Dec-18,7777,6612,1165,6250,0,6250,9034,-2784,-2617
(주)모빌리언스,29266,Dec-02,14376,8115,6261,19615,12980,6635,2898,3737,3093
